mes,ano,alta,P_1-10,P_11-20,P_21-30,UR_1-10,UR_11-20,UR_21-30,TMAX_1-10,TMAX_11-20,TMAX_21-30,TMIN_1-10,TMIN_11-20,TMIN_21-30,NDR>1mm_1-10,NDR>1mm_11-20,NDR>1mm_21-30,NDR>10mm_1-10,NDR>10mm_11-20,NDR>10mm_21-30,NRH80_1-10,NRH80_11-20,NRH80_21-30,NRH90_1-10,NRH90_11-20,NRH90_21-30
setembro,2007,0,"0,18",0,"0,03","51,584","58,354","59,219","29,113","26,633","26,046","12,1","10,424","10,187",0,0,"1,7",0,0,"0,5",0,0,1,0,0,0
outubro,2007,"0,75","5,87","0,08","6,53","49,561","46,07","55,187","30,84","30,694","29,252","14,223","12,756","13,556","0,2","0,5","1,5",0,0,0,0,0,0,0,0,0
novembro,2007,0,"72,5","20,93","1,7","74,89","53,91","43,348","27,246","31,999","31,838","17,406","17,392","13,467","6,9","1,5",2,"1,6",0,0,"1,3",0,0,0,0,0
dezembro,2007,0,"33,2","46,63","82,98","70,502","77,298","77,164","27,67","26,294","26,824","14,591","15,783","17,413","6,6","9,5","8,7","1,5","1,9","1,4","2,1","5,1",2,0,0,0
janeiro,2008,"2,75","23,18","94,87","59,26","74,095","79,445","73,528","27,361","26,252","29,034","16,214","16,553","18,228","7,6","9,3","4,7","1,4","4,1",1,"6,2","2,4","0,8",0,0,0
fevereiro,2008,6,"81,06","93,07","82,39","85,995","82,849","75,521","24,293","25,528","27,551","16,058","17,576","17,243","9,6","8,8",3,"3,6","5,2","1,4","8,5","5,9","1,7","0,5","0,8",0
março,2008,"10,75","69,8","38,64","127,49","83,038","80,152","85,187","26,048","26,751","25,384","17,137","17,555","17,329","7,9","8,6","9,3","1,1","3,3","4,2","5,4","6,5","9,3","0,7","2,2","1,7"
abril,2008,"37,5","27,65","145,14","44,1","81,875","86,885","79,487","25,791","24,583","27,423","16,407","16,787","17,16","6,1",9,"7,3","2,4","3,1","1,6","9,7","6,2","5,8","1,1",1,"1,1"
maio,2008,"56,5","39,69","46,9","64,46","81,236","85,626","86,335","24,21","25,178","24,046","14,287","16,642","15,973","6,5","8,5","4,6","2,9","2,5","0,9",9,"9,7","6,6","2,8",3,"0,9"
junho,2008,"78,5","11,28","0,29","29,04","77,901","83,03","84,484","22,877","21,329","20,601","11,384","12,343","10,551","0,9","1,8","6,5",0,"0,2","0,9",4,"7,2","5,6","0,7","0,9","2,5"
julho,2008,86,"6,29","0,7","13,78","82,619","81,947","83,186","21,143","22,516","21,259","11,039","11,968","11,531","1,1","1,2","3,9",0,0,0,8,7,"7,1",0,"0,7","1,3"
agosto,2008,93,"1,83","0,09","3,38","65,491","68,275","73,191","24,294","21,583","21,648","9,254","7,729","8,379","0,8","0,6","1,1",0,0,0,0,"0,7","2,8",0,0,0
setembro,2008,"2,25","12,71","0,54","33,84","61,863","63,419","74,739","26,761","26,398","25,037","11,81","11,075","13,149","0,7","3,5","2,6",0,"1,6","0,4",0,"1,8","1,2",0,0,0
outubro,2008,"0,5","54,46",10,"5,67","69,588","62,967","57,988","24,208","27,345","28,178","10,542","13,152","11,998",4,3,"2,5",2,0,0,"1,1",0,0,0,0,0
novembro,2008,"2,5","31,23","33,26","33,64","65,024","68,788","74,806","30,108","28,498","26,092","16,624","16,29","14,978","5,2","3,7","4,9",1,"0,2","1,6","0,9","0,3","1,5",0,0,0
dezembro,2008,"25,75","34,97","68,87","61,73","74,982","78,174","76,181","25,633","26,163","28,149","14,497","16,353","17,583","7,8","9,1","7,3","1,7","2,5","1,7","2,2","4,2","0,6",0,0,0
janeiro,2009,43,"127,85","121,07","25,49","85,346","84,167","67,739","25,255","24,535","28,837","17,159","16,008","15,131",10,8,7,"4,7","1,9",0,"9,5","3,7",0,"1,5","0,5",0
fevereiro,2009,"65,75","87,43","105,41","34,95","87,574","83,158","81,338","24,747","26,291","25,77","17,604","17,793","16,33","9,9","6,5","8,6","4,4","1,4","3,5","9,3","4,9","7,3","1,1",0,"1,7"
março,2009,"76,5","46,79","135,54","79,73","81,927","87,559","83,295","26,761","25,294","27,034","17,686","17,617","18,493","5,8","9,7",10,"3,5","5,8","5,4","8,6","8,9","9,1","2,5","2,5","2,5"
abril,2009,"81,75","74,3","24,28","34,76","87,988","84,42","81,379","24,718","25,919","27,943","17,075","17,374","18,583","8,1","7,9","4,5","0,4","0,8",1,"8,4","8,1","4,2","1,4",0,0
maio,2009,"87,25","5,9","43,1","52,14","80,568","82,843","84,572","23,688","23,873","25,161","13,428","14,538","16,165","2,1","5,4","7,2","0,7","1,9",2,"5,6","8,5","9,9","0,4","1,9","2,3"
junho,2009,"73,25","7,91","7,93","26,22","83,517","81,58","83,261","23,039","22,865","23,231","12,539","12,228","13,44","1,7","3,8","3,7",0,"0,3","0,7","7,1","6,4",7,"0,4","0,6",0
julho,2009,"73,25","17,22","9,04","5,5","80,305","81,583","84,041","21,867","20,517","19,942","10,531","8,913","8,627","1,7","3,8","2,9","0,3",0,0,"4,4","8,3","8,2","0,5","1,3","1,5"
agosto,2009,"23,5","7,78","8,78","11,91","79,374","75,734","79,759","24,801","22,019","22,777","13,799","9,267","12,278","2,2","2,3",3,0,0,"0,6","3,5","3,5","5,6",0,0,"0,6"
setembro,2009,3,"23,54","20,86","0,12","72,593","68,627","67,684","24,19","24,934","25,699","11,786","11,514","11,76","4,8","0,3","0,5","1,6","0,2",0,"1,8",0,"0,9",0,0,0
outubro,2009,"5,75","52,8","4,05","47,85","75,801","66,953","71,724","26,233","28,399","27,773","14,718","14,609","15,848","3,6","3,2","2,2","0,9","1,4","0,8","2,4","0,6","1,6",0,0,0
